Metro,Dimension Type,Month,Dimension,Measure,Value,YoY,mnth,yr
Atlanta,Job Title,2017-06,Construction Laborer,Median Base Pay,34660.0,0.016,6,2017
Atlanta,Job Title,2017-06,Emergency Medical Technician,Median Base Pay,36178.0,0.019,6,2017
Atlanta,Job Title,2017-06,Web Designer,Median Base Pay,57442.0,0.027000000000000003,6,2017
Atlanta,Job Title,2017-06,Maintenance Worker,Median Base Pay,41400.0,0.04,6,2017
Atlanta,Job Title,2017-06,Barista,Median Base Pay,22782.0,0.069,6,2017
Atlanta,Job Title,2017-06,Bartender,Median Base Pay,34031.0,0.004,6,2017
Atlanta,Job Title,2017-06,Civil Engineer,Median Base Pay,67468.0,0.023,6,2017
Atlanta,Job Title,2017-06,Claims Adjuster,Median Base Pay,50071.0,0.057999999999999996,6,2017
Atlanta,Job Title,2017-06,Certified Nursing Assistant,Median Base Pay,25646.0,0.03,6,2017
Atlanta,Job Title,2017-06,Customer Service Representative,Median Base Pay,36627.0,0.019,6,2017
Atlanta,Job Title,2017-06,Delivery Driver,Median Base Pay,37014.0,0.035,6,2017
Atlanta,Job Title,2017-06,Financial Advisor,Median Base Pay,49774.0,-0.02,6,2017
Atlanta,Job Title,2017-06,Licensed Practical Nurse,Median Base Pay,42777.0,0.013000000000000001,6,2017
Atlanta,Job Title,2017-06,Loan Officer,Median Base Pay,41951.0,-0.06,6,2017
Atlanta,Job Title,2017-06,Maintenance Technician,Median Base Pay,44894.0,-0.001,6,2017
Atlanta,Job Title,2017-06,Material Handler,Median Base Pay,33532.0,-0.01,6,2017
Atlanta,Job Title,2017-06,Network Engineer,Median Base Pay,72779.0,-0.028999999999999998,6,2017
Atlanta,Job Title,2017-06,Office Manager,Median Base Pay,47239.0,-0.013999999999999999,6,2017
Atlanta,Job Title,2017-06,Pharmacist,Median Base Pay,115917.0,-0.024,6,2017
Atlanta,Job Title,2017-06,Process Engineer,Median Base Pay,76194.0,0.016,6,2017
Atlanta,Job Title,2017-06,Program Manager,Median Base Pay,83930.0,0.006999999999999999,6,2017
Atlanta,Job Title,2017-06,Research Assistant,Median Base Pay,31188.0,0.023,6,2017
Atlanta,Job Title,2017-06,Restaurant Manager,Median Base Pay,51572.0,0.017,6,2017
Atlanta,Job Title,2017-06,Security Officer,Median Base Pay,32857.0,0.027999999999999997,6,2017
Atlanta,Job Title,2017-06,Server,Median Base Pay,33586.0,0.027999999999999997,6,2017
Atlanta,Job Title,2017-06,Solutions Architect,Median Base Pay,113872.0,-0.012,6,2017
Atlanta,Job Title,2017-06,Systems Engineer,Median Base Pay,77172.0,0.025,6,2017
Atlanta,Job Title,2017-06,Technical Support,Median Base Pay,44120.0,-0.004,6,2017
Atlanta,Job Title,2017-06,UX Designer,Median Base Pay,84291.0,0.032,6,2017
New York City,Job Title,2017-06,Software Engineer,Median Base Pay,104679.0,0.028999999999999998,6,2017
New York City,Job Title,2017-06,Programmer Analyst,Median Base Pay,81020.0,0.027000000000000003,6,2017
New York City,Job Title,2017-06,Consultant,Median Base Pay,88820.0,0.006999999999999999,6,2017
New York City,Job Title,2017-06,Project Manager,Median Base Pay,85147.0,0.005,6,2017
New York City,Job Title,2017-06,Store Manager,Median Base Pay,58502.0,0.028999999999999998,6,2017
New York City,Job Title,2017-06,Business Analyst,Median Base Pay,80143.0,0.024,6,2017
New York City,Job Title,2017-06,Cashier,Median Base Pay,28731.0,0.042,6,2017
New York City,Job Title,2017-06,Financial Analyst,Median Base Pay,75973.0,0.013000000000000001,6,2017
New York City,Job Title,2017-06,Administrative Assistant,Median Base Pay,48296.0,0.02,6,2017
New York City,Job Title,2017-06,Accountant,Median Base Pay,62981.0,0.015,6,2017
New York City,Job Title,2017-06,Sales Representative,Median Base Pay,55866.0,0.027999999999999997,6,2017
New York City,Job Title,2017-06,Professor,Median Base Pay,109498.0,0.013000000000000001,6,2017
New York City,Job Title,2017-06,Registered Nurse,Median Base Pay,84997.0,0.038,6,2017
New York City,Job Title,2017-06,Marketing Manager,Median Base Pay,83049.0,0.013000000000000001,6,2017
New York City,Job Title,2017-06,Operations Manager,Median Base Pay,77247.0,0.021,6,2017
New York City,Job Title,2017-06,Product Manager,Median Base Pay,107019.0,0.02,6,2017
New York City,Job Title,2017-06,Sales Manager,Median Base Pay,76342.0,0.006999999999999999,6,2017
New York City,Job Title,2017-06,Teacher,Median Base Pay,62418.0,0.022000000000000002,6,2017
New York City,Job Title,2017-06,Bank Teller,Median Base Pay,32201.0,0.063,6,2017
New York City,Job Title,2017-06,Customer Service Manager,Median Base Pay,61651.0,0.065,6,2017
New York City,Job Title,2017-06,Physical Therapist,Median Base Pay,78549.0,-0.017,6,2017
New York City,Job Title,2017-06,Mechanical Engineer,Median Base Pay,73567.0,0.006,6,2017
New York City,Job Title,2017-06,Recruiter,Median Base Pay,61896.0,0.085,6,2017
New York City,Job Title,2017-06,Design Engineer,Median Base Pay,77228.0,-0.037000000000000005,6,2017
New York City,Job Title,2017-06,Pharmacy Technician,Median Base Pay,30361.0,0.045,6,2017
New York City,Job Title,2017-06,Graphic Designer,Median Base Pay,57166.0,0.005,6,2017
New York City,Job Title,2017-06,Web Developer,Median Base Pay,84133.0,-0.003,6,2017
New York City,Job Title,2017-06,Business Development Manager,Median Base Pay,79190.0,-0.017,6,2017
New York City,Job Title,2017-06,Data Scientist,Median Base Pay,112974.0,0.03,6,2017
New York City,Job Title,2017-06,Buyer,Median Base Pay,72856.0,-0.006999999999999999,6,2017
New York City,Job Title,2017-06,Data Analyst,Median Base Pay,71688.0,0.02,6,2017
New York City,Job Title,2017-06,Electrical Engineer,Median Base Pay,78676.0,0.027999999999999997,6,2017
New York City,Job Title,2017-06,Attorney,Median Base Pay,124676.0,0.006999999999999999,6,2017
New York City,Job Title,2017-06,Human Resources Manager,Median Base Pay,85317.0,0.016,6,2017
New York City,Job Title,2017-06,Technician,Median Base Pay,51551.0,0.027000000000000003,6,2017
New York City,Job Title,2017-06,Restaurant Cook,Median Base Pay,32053.0,0.073,6,2017
New York City,Job Title,2017-06,Production Manager,Median Base Pay,76383.0,0.023,6,2017
New York City,Job Title,2017-06,Manufacturing Engineer,Median Base Pay,74531.0,0.037000000000000005,6,2017
New York City,Job Title,2017-06,Retail Key Holder,Median Base Pay,33636.0,0.0,6,2017
New York City,Job Title,2017-06,Paralegal,Median Base Pay,56595.0,0.018000000000000002,6,2017
New York City,Job Title,2017-06,Java Developer,Median Base Pay,80565.0,-0.008,6,2017
New York City,Job Title,2017-06,Warehouse Associate,Median Base Pay,39236.0,0.05,6,2017
New York City,Job Title,2017-06,Property Manager,Median Base Pay,67161.0,0.01,6,2017
New York City,Job Title,2017-06,Producer,Median Base Pay,77977.0,0.019,6,2017
New York City,Job Title,2017-06,Quality Engineer,Median Base Pay,76086.0,0.027999999999999997,6,2017
New York City,Job Title,2017-06,Operations Analyst,Median Base Pay,68538.0,-0.024,6,2017
New York City,Job Title,2017-06,Medical Assistant,Median Base Pay,37771.0,0.017,6,2017
New York City,Job Title,2017-06,Tax Manager,Median Base Pay,115869.0,-0.012,6,2017
New York City,Job Title,2017-06,Technical Editor,Median Base Pay,62523.0,0.018000000000000002,6,2017
