Metro,Dimension Type,Month,Dimension,Measure,Value,YoY
Philadelphia,Industry,2017-06,Government,Median Base Pay,53757.0,
Philadelphia,Industry,2017-06,Health Care & Hospitals,Median Base Pay,52562.0,
Philadelphia,Industry,2017-06,Information Technology,Median Base Pay,53476.0,
Philadelphia,Industry,2017-06,Insurance,Median Base Pay,53644.0,
Philadelphia,Industry,2017-06,Internet & Tech,Median Base Pay,54515.0,
Philadelphia,Industry,2017-06,Manufacturing,Median Base Pay,55232.0,
Philadelphia,Industry,2017-06,Marketing & Advertising,Median Base Pay,50955.0,
Philadelphia,Industry,2017-06,Media & Publishing,Median Base Pay,51752.0,
Philadelphia,Industry,2017-06,Nonprofit,Median Base Pay,48685.0,
Philadelphia,Industry,2017-06,Private Security,Median Base Pay,48569.0,
Philadelphia,Industry,2017-06,Real Estate,Median Base Pay,51673.0,
Philadelphia,Industry,2017-06,Recruiting & Staffing,Median Base Pay,50960.0,
Philadelphia,Industry,2017-06,Restaurants & Bars,Median Base Pay,49588.0,
Philadelphia,Industry,2017-06,Retail,Median Base Pay,48862.0,
Philadelphia,Industry,2017-06,Supermarkets,Median Base Pay,50681.0,
Philadelphia,Industry,2017-06,Telecommunications,Median Base Pay,52627.0,
Philadelphia,Industry,2017-06,Transportation & Logistics,Median Base Pay,52178.0,
Philadelphia,Industry,2017-06,Travel & Tourism,Median Base Pay,49757.0,
Philadelphia,Industry,2017-06,Wholesale,Median Base Pay,52652.0,
Atlanta,Industry,2017-06,Accounting & Legal,Median Base Pay,53212.0,
Atlanta,Industry,2017-06,Aerospace & Defense,Median Base Pay,55205.0,
Atlanta,Industry,2017-06,Architecture & Civil Engineering,Median Base Pay,53634.0,
Atlanta,Industry,2017-06,Arts & Entertainment,Median Base Pay,47485.0,
Atlanta,Industry,2017-06,Automotive,Median Base Pay,47712.0,
Atlanta,Industry,2017-06,Banking & Financial Services,Median Base Pay,51981.0,
Atlanta,Industry,2017-06,Beauty & Fitness,Median Base Pay,46417.0,
Atlanta,Industry,2017-06,Biotech & Pharmaceuticals,Median Base Pay,55684.0,
Atlanta,Industry,2017-06,Business Services,Median Base Pay,50237.0,
Atlanta,Industry,2017-06,Computer Software & Hardware,Median Base Pay,53731.0,
Atlanta,Industry,2017-06,Construction,Median Base Pay,53242.0,
Atlanta,Industry,2017-06,Consulting,Median Base Pay,52773.0,
Atlanta,Industry,2017-06,Consumer Electronics,Median Base Pay,44870.0,
Atlanta,Industry,2017-06,Consumer Services,Median Base Pay,46612.0,
Atlanta,Industry,2017-06,Education & Schools,Median Base Pay,47628.0,
Atlanta,Industry,2017-06,Energy & Utilities,Median Base Pay,57978.0,
Atlanta,Industry,2017-06,Facilities,Median Base Pay,47572.0,
Atlanta,Industry,2017-06,Farming & Agriculture,Median Base Pay,51173.0,
Atlanta,Industry,2017-06,Government,Median Base Pay,51987.0,
Atlanta,Industry,2017-06,Health Care & Hospitals,Median Base Pay,50832.0,
Atlanta,Industry,2017-06,Information Technology,Median Base Pay,51715.0,
Atlanta,Industry,2017-06,Insurance,Median Base Pay,51878.0,
Atlanta,Industry,2017-06,Internet & Tech,Median Base Pay,52720.0,
Atlanta,Industry,2017-06,Manufacturing,Median Base Pay,53414.0,
Atlanta,Industry,2017-06,Marketing & Advertising,Median Base Pay,49277.0,
Atlanta,Industry,2017-06,Media & Publishing,Median Base Pay,50048.0,
Atlanta,Industry,2017-06,Nonprofit,Median Base Pay,47082.0,
Atlanta,Industry,2017-06,Private Security,Median Base Pay,46970.0,
Atlanta,Industry,2017-06,Real Estate,Median Base Pay,49972.0,
Atlanta,Industry,2017-06,Recruiting & Staffing,Median Base Pay,49282.0,
Atlanta,Industry,2017-06,Restaurants & Bars,Median Base Pay,47955.0,
Atlanta,Industry,2017-06,Retail,Median Base Pay,47253.0,
Atlanta,Industry,2017-06,Supermarkets,Median Base Pay,49013.0,
Atlanta,Industry,2017-06,Telecommunications,Median Base Pay,50895.0,
Atlanta,Industry,2017-06,Transportation & Logistics,Median Base Pay,50460.0,
Atlanta,Industry,2017-06,Travel & Tourism,Median Base Pay,48119.0,
Atlanta,Industry,2017-06,Wholesale,Median Base Pay,50918.0,
Boston,Industry,2017-06,Accounting & Legal,Median Base Pay,59174.0,
Boston,Industry,2017-06,Aerospace & Defense,Median Base Pay,61390.0,
Boston,Industry,2017-06,Architecture & Civil Engineering,Median Base Pay,59643.0,
Boston,Industry,2017-06,Arts & Entertainment,Median Base Pay,52805.0,
Boston,Industry,2017-06,Automotive,Median Base Pay,53058.0,
Boston,Industry,2017-06,Banking & Financial Services,Median Base Pay,57806.0,
Boston,Industry,2017-06,Beauty & Fitness,Median Base Pay,51618.0,
Boston,Industry,2017-06,Biotech & Pharmaceuticals,Median Base Pay,61924.0,
Boston,Industry,2017-06,Business Services,Median Base Pay,55866.0,
Boston,Industry,2017-06,Computer Software & Hardware,Median Base Pay,59751.0,
Boston,Industry,2017-06,Construction,Median Base Pay,59207.0,
Boston,Industry,2017-06,Consulting,Median Base Pay,58686.0,
Boston,Industry,2017-06,Consumer Electronics,Median Base Pay,49898.0,
Boston,Industry,2017-06,Consumer Services,Median Base Pay,51835.0,
Boston,Industry,2017-06,Education & Schools,Median Base Pay,52965.0,
Boston,Industry,2017-06,Energy & Utilities,Median Base Pay,64474.0,
Boston,Industry,2017-06,Facilities,Median Base Pay,52902.0,
Boston,Industry,2017-06,Farming & Agriculture,Median Base Pay,56906.0,
Boston,Industry,2017-06,Government,Median Base Pay,57812.0,
Boston,Industry,2017-06,Health Care & Hospitals,Median Base Pay,56527.0,
Boston,Industry,2017-06,Information Technology,Median Base Pay,57509.0,
Boston,Industry,2017-06,Insurance,Median Base Pay,57690.0,
Boston,Industry,2017-06,Internet & Tech,Median Base Pay,58627.0,
Boston,Industry,2017-06,Manufacturing,Median Base Pay,59398.0,
Boston,Industry,2017-06,Marketing & Advertising,Median Base Pay,54798.0,
Boston,Industry,2017-06,Media & Publishing,Median Base Pay,55656.0,
Boston,Industry,2017-06,Nonprofit,Median Base Pay,52357.0,
Boston,Industry,2017-06,Private Security,Median Base Pay,52233.0,
Boston,Industry,2017-06,Real Estate,Median Base Pay,55571.0,
Boston,Industry,2017-06,Recruiting & Staffing,Median Base Pay,54804.0,
Boston,Industry,2017-06,Restaurants & Bars,Median Base Pay,53328.0,
Boston,Industry,2017-06,Retail,Median Base Pay,52548.0,
Boston,Industry,2017-06,Supermarkets,Median Base Pay,54504.0,
Boston,Industry,2017-06,Telecommunications,Median Base Pay,56597.0,
Boston,Industry,2017-06,Transportation & Logistics,Median Base Pay,56113.0,
Boston,Industry,2017-06,Travel & Tourism,Median Base Pay,53510.0,
Boston,Industry,2017-06,Wholesale,Median Base Pay,56623.0,
San Francisco,Industry,2017-06,Accounting & Legal,Median Base Pay,69419.0,
San Francisco,Industry,2017-06,Aerospace & Defense,Median Base Pay,72019.0,
San Francisco,Industry,2017-06,Architecture & Civil Engineering,Median Base Pay,69969.0,
San Francisco,Industry,2017-06,Arts & Entertainment,Median Base Pay,61948.0,
San Francisco,Industry,2017-06,Automotive,Median Base Pay,62244.0,
San Francisco,Industry,2017-06,Banking & Financial Services,Median Base Pay,67814.0,
San Francisco,Industry,2017-06,Beauty & Fitness,Median Base Pay,60555.0,
San Francisco,Industry,2017-06,Biotech & Pharmaceuticals,Median Base Pay,72644.0,
San Francisco,Industry,2017-06,Business Services,Median Base Pay,65538.0,
San Francisco,Industry,2017-06,Computer Software & Hardware,Median Base Pay,70096.0,
San Francisco,Industry,2017-06,Construction,Median Base Pay,69457.0,
San Francisco,Industry,2017-06,Consulting,Median Base Pay,68846.0,
San Francisco,Industry,2017-06,Consumer Electronics,Median Base Pay,58536.0,
San Francisco,Industry,2017-06,Consumer Services,Median Base Pay,60809.0,
San Francisco,Industry,2017-06,Education & Schools,Median Base Pay,62134.0,
San Francisco,Industry,2017-06,Energy & Utilities,Median Base Pay,75637.0,
San Francisco,Industry,2017-06,Facilities,Median Base Pay,62062.0,
San Francisco,Industry,2017-06,Farming & Agriculture,Median Base Pay,66759.0,
San Francisco,Industry,2017-06,Government,Median Base Pay,67821.0,
San Francisco,Industry,2017-06,Health Care & Hospitals,Median Base Pay,66314.0,
San Francisco,Industry,2017-06,Information Technology,Median Base Pay,67466.0,
San Francisco,Industry,2017-06,Insurance,Median Base Pay,67678.0,
San Francisco,Industry,2017-06,Internet & Tech,Median Base Pay,68778.0,
San Francisco,Industry,2017-06,Manufacturing,Median Base Pay,69682.0,
San Francisco,Industry,2017-06,Marketing & Advertising,Median Base Pay,64286.0,
San Francisco,Industry,2017-06,Media & Publishing,Median Base Pay,65292.0,
San Francisco,Industry,2017-06,Nonprofit,Median Base Pay,61422.0,
San Francisco,Industry,2017-06,Private Security,Median Base Pay,61276.0,
San Francisco,Industry,2017-06,Real Estate,Median Base Pay,65192.0,
San Francisco,Industry,2017-06,Recruiting & Staffing,Median Base Pay,64292.0,
San Francisco,Industry,2017-06,Restaurants & Bars,Median Base Pay,62561.0,
San Francisco,Industry,2017-06,Retail,Median Base Pay,61645.0,
San Francisco,Industry,2017-06,Supermarkets,Median Base Pay,63941.0,
San Francisco,Industry,2017-06,Telecommunications,Median Base Pay,66396.0,
San Francisco,Industry,2017-06,Transportation & Logistics,Median Base Pay,65828.0,
San Francisco,Industry,2017-06,Travel & Tourism,Median Base Pay,62774.0,
San Francisco,Industry,2017-06,Wholesale,Median Base Pay,66427.0,
Seattle,Industry,2017-06,Accounting & Legal,Median Base Pay,60533.0,
Seattle,Industry,2017-06,Aerospace & Defense,Median Base Pay,62800.0,
Seattle,Industry,2017-06,Architecture & Civil Engineering,Median Base Pay,61013.0,
Seattle,Industry,2017-06,Arts & Entertainment,Median Base Pay,54018.0,
Seattle,Industry,2017-06,Automotive,Median Base Pay,54277.0,
Seattle,Industry,2017-06,Banking & Financial Services,Median Base Pay,59133.0,
Seattle,Industry,2017-06,Beauty & Fitness,Median Base Pay,52804.0,
Seattle,Industry,2017-06,Biotech & Pharmaceuticals,Median Base Pay,63346.0,
Seattle,Industry,2017-06,Business Services,Median Base Pay,57149.0,
Seattle,Industry,2017-06,Computer Software & Hardware,Median Base Pay,61123.0,
Seattle,Industry,2017-06,Construction,Median Base Pay,60567.0,
Seattle,Industry,2017-06,Consulting,Median Base Pay,60034.0,
Seattle,Industry,2017-06,Consumer Electronics,Median Base Pay,51044.0,
